pkg_name,app_name,developer,star,review,download,rating,update_date,description,app_type,size,engines,vt_5,vt_detection,sha
com.mesutgungor.universiteyehazirlaniyorum,Üniversiteye Hazırlanıyorum,Mesut GÜNGÖR,4.8star,17.6K reviews,500K+,Everyone,"Apr 17, 2021","Your best travel companion while preparing for college!Performance and Efficiency Application      It is very important for all our students and graduate candidates who are preparing for the exams to study the subjects efficiently, to do plenty of practice about the subjects studied, to use the time efficiently and to keep motivation high. With this in mind, we developed the I'm Preparing for University application that will help you prepare for the exams and offer dozens of features together. You can use all the features for free.      WHAT CAN I DO WITH THIS APPLICATION?      ✔ You can access the topics of all courses prepared on the basis of the National Education high school curriculum. Thanks to the newly developed subject tracking system, you can add stars to the topic titles from how many sources you finish the topic or how many times you repeat it, making it fun to follow the topic. With the stars you give to measure your subject dominance, you can see what percentage of the exam subjects you have completed in the progress section.     ✔ Lessons section is categorized according to TYT, AYT to facilitate follow-up.    ✔ You can add how many questions you solved from which lesson to the application. You can also track in detail how many questions you solved that day, that week, and in total.    ✔ You can add how many hours you work by entering the time information or by taking it from the stopwatch. You can follow up on the same screen how many hours you worked that day, that week and in total.    ✔ Thanks to the archive feature, you can easily track how many questions you have solved on the calendar and how many hours you have worked. You can add or update the number of questions and duration for any day in the calendar. Calendar colors the number of questions and days with time added for you differently. You can also see how many questions you have solved in that month and how many hours you worked on the calendar. If there is a university entrance exam of ÖSYM that month, you can understand from the color of that day.    ✔ Thanks to its graphical feature, you can see the number of questions and duration information in the form of weekly and monthly line graphs, and you can set goals in the graphs. Your goals will appear on the graphs as a target line.    ✔ You can choose the university and department you target and ensure that it is always in front of your eyes.    ✔ Thanks to the Word of the Day feature, hundreds of quotations are waiting for you on the main page of the application. You can also send quotations to your friends as a message with the share button.    ✔ You can calculate the Numerical, Verbal, Equal Weight and Language estimation scores for TYT, AYT according to your trial results. You can save the calculated results and change the registration names in the registration section.    You can register your scores in ✔TYT Turkish and Mathematics, AYT Mathematics, Science, Turkish Language and Literature-Social Sciences 1, Social Sciences 2 and Foreign Language tests.    ✔ With Net Graphics, you can follow your TYT, AYT and YDT net from the graphics.    ✔ Thanks to the countdown feature, you can see how many days are left to TYT, AYT and YDT.    ✔ You can easily create your sample preference list.    ✔ With the goal bars, you can follow the number of questions and percentage of your time goals you have reached.    ✔ With the widget feature, your goal, daily and weekly number of questions and time information are always in front of your eyes.    Preparing for University is a performance, efficiency and follow-up program.Features:1. Subject Tracking2. Number of Questions Tracking3. Time Tracking4. Graphics5. My Preferred List6. Setting Goals7. Quote of the day8. Calendar9. Score Calculation10. Countdown11. WidgetContent:1- 396 Subject Headings (It was prepared on the basis of the high school curriculum of the Ministry of National Education.),2- 219 Universities (University names and logos have been added.),3- Section 858 (It has been added using the OSYM Preference Guide.),4- 158 Quotations (Compiled from quotations about success and work.).",Education,14205585,,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",A271CA01F0E50F875512FA3A18A98067BD269CF300B0E21ADCA2664C827495D6
com.afghan.af.amir.ahmadi,آهنگ های تاج محمد چاه آبی,Afghan.Af,4.5star,25 reviews,1K+,Everyone,"Dec 18, 2022","High application capabilities:Completely Reagan By the way, the text of the music  Play and control their music at any time, even in the silent lock state! Others, its music is Hamisheh Hamra Shamast. Tarahi zeba, plain and haste You have lost your music. The quality of the sound is good and loud, and the size of the car is great Payne application sizeAfghan ahangAhang Kheli Shad AfghaniAhnj bride Shad and Mist AfghaniAbdul Ahmed KunduziBelton StadiumTaj Mohammad Shah Abi",Music & Audio,86130836,,0.0,[0.0],90C80EAE00D0435B79912F4E6CBD6B997976DDD07487A306EA913A1372B90EC1
com.bugs.repair.fixproblems,,,,,,,,,,23362609,,0.0,[0.0],6C843F368814665646F1819B4B3F265ED1F5689738FC811A92534C26813E51B1
studio.love.sweet.motivational.quotes,Motivational Quotes,Sweet Love Studio,4.9star,117 reviews,10K+,Teen,"Aug 6, 2023","Successful people don’t become that way overnight. What most people see at a glance—happiness, wealth, a great career, purpose—is the result of hard work and hustle over time.To be successful, you have to use each day as an opportunity to improve, to be better, to get a little bit closer to your goals. It might sound like a lot of work—and with a busy schedule, next to impossible. But the best part is, the more you accomplish, the more you’ll want to do, the higher you’ll want to reach. So as long as you have the hunger for success, you will always have the power within you to achieve it.Use your ambition, drive and desire—along with these 10 categories of motivational quotes—to make it happen:#1. Life Quotes#2. Yourself Quotes#3. Attitude Quotes#4. Goal Quotes#5. Action Quotes#6. Confidence Quotes#7. Hard work Quotes#8. Stay Strong Through Failures Quotes#9. Positive Quotes#10. Time Quotes#11. Power Quotes#12. Change Quotes#13. Hard Times Quotes#14. Being Real Quotes#15. Keep Trying Quotes#16. Encouraging Quotes#17. Inspiration Quotes#18. Experience Quotes#19. Mistake Quotes#20. Forgiveness Quotes#21. Happiness Quotes#22. People Quotes#23. Fake People Quotes#24. Give up Quotes#25. Funny and Smile Quotes#26. Appreciation Quotes#27. Love Quotes#28. Wisdom Quotes#29. Fitness and Workout Quotes...Ever wanted to motivation in your life ? If yes, then this app will help you to get motivated at every point of your life with it largest collection of motivational quotes. This app contains a huge collection of Motivational, Inspirational and Success Quotes that starts your day with motivation.If you want to achieve greatness, you need to stop asking for permission. This is why motivation is important in life because it stops asking questions and aligns you to work towards your goals.",Lifestyle,9149939,,0.0,[0.0],5C887699ABD284C38CF7CB030223AEF21E7E515763587C2D5CC2D898D8D840E0
com.merizekworks.methodistaudiohymnal,Methodist Audio Hymnal Offline,Merizek Works,,,50K+,Everyone,"Apr 7, 2023","""This is a complete Methodist Church Hymnal loaded with Audio tunes. It consists of Hymn Lyrics and tunes to more than 1,506 hymns as found in the British edition of the Methodist Hymnal used by the Methodist church worldwide. This application also contains the Methodist Church Liturgy, Canticles and extras use for Worship.We created this Methodist audio-tune-hymnal as a free resource for all members of the Church to use for families, homes, worship, evening talks, or just to listen and sing-along with your favorite hymn tunes.Features of the Hymn Tunes✔Ability to copy, paste and share the hymn lyrics anywhere✔It does not require internet connection to work✔ It contains the Liturgy(order for Holy Communion)✔ It has the fastest search query with which you can search the hymn title by letters or numbers""",Books & Reference,24394173,,0.0,[0.0],C7691E7C6AA20D6E3DCD5363837FF140ABF21447B19AAE96C249A30873DC9CB7
conversor.conversaotaxasbasico.cnyshp,CHN Yuan x Saint Helena Pound,Currency Converter X Apps,,,100+,Everyone,"Oct 30, 2022",A simple currency converter from Chinese Yuan to Saint Helena Pound and from Saint Helena Pound to Chinese Yuan.This application includes the following features:- Currency converter- Exchange rate online- Allows you to change the rate manually to the rate of your choiceChinese Yuan x Saint Helena Pound (CNY SHP)Saint Helena Pound x Chinese Yuan (SHP CNY),Finance,4393190,,0.0,[0.0],B1F7710CB595A6257539D5F31246A9897B1692CBD4501C4871CF42B2BF42C6DF
com.ninawaustudio.happybirthdaymom,Happy Birthday Mom,Ninawau Studio,4.8star,119 reviews,50K+,Teen,"Apr 22, 2019","Happy birthday to all wonderful mom out there.You are indeed our best friend.Your loving hug is the best place in the world for everyone.A divine gift from God.Without you, life is meaningless.May your day be as wonderful as you are.May your birthday be full of blessings and joy!Moms are super special. They are the most important and the most special person for everybody around the world. Mother fills our life with sunshine, love and kindness. A mother is a wonderful combination of warmth, kindness, laughter and love. Therefore, without mother, life would be dull. Mothers are everything for us when we are small. In fact, our lives revolve around her. We call mother for everything that we need and want her around us to protect us from all perceivable dangers. We hold her arms to take us out. To kiss away our wounds, we run to her. And we look for her for a warm hug and love. She is the focal point of our lives, the greatest human being in the world or should we say the greatest blessing of God on us all. Mothers are as caring in East as they are in the West. Such a divine gift from God.Therefore, moms deserve the sweetest messages, the warmest hugs and the most touching greetings that will make her feel as special as she is for everyone. On their special day, let us pay tribute to our mother. Make your mom feel special on their birthdays as they deserve special recognition on their historical day. Pamper her a little just as she pampers us all the year round. Give her a warm hug and a big kiss as you wish her Happy Birthday! Give her a reason to believe that she has been blessed with children who truly value the love that she has for them. Your thoughts and pure affection of her means so much to her. In fact, we all like to be remembered at special times. Let us appreciate our mother with personalised greetings, quotes and frames from Happy Birthday Mom app specially developed for mom that will make her eyes well up with tears of joy on her birthday anniversary. Find hearts warming and wonderful birthday cards for the Queen of Our Hearts. Download this Happy Birthday Mom app and send birthday greetings to your mom via smartphone, email, Facebook, Whatsapp, Line, WeChat, Instagram, Google Hangouts, Telegram, and other social media. Happy Birthday Mom app features the following:•	A selection of beautiful birthday wishes and greeting cards•	Chat room to stay in touch with your mother or other family members, relatives and friends•	Special, inspiring and hearts warming quotes for mothers•	Unique, colourful and beautiful birthday frames to capture your moments with your mother•	Ability to create and personalize greeting cards and frames for motherThere is simply no way we can ever really thank mother for all she has done for us. Mothers are the ones who would forever care on us totally. They will always want to give the best for their family and children. Ninawaustudio hope that Happy Birthday Mom app strengthen your special bond with your mother. Kindly rate and comment this app.A Mother's Love There are times when only a Mother's loveCan understand our tears,Can soothe our disappointsAnd calm all of our fears. There are times when only a Mother's loveCan share the joy we feelWhen something we've dreamed aboutQuite suddenly is real. There are times when only a Mother's faithCan help us on life's wayAnd inspire in us the confidenceWe need from day to day. For a Mother's heart and a Mother's faithAnd a Mother's steadfast loveWere fashioned by the AngelsAnd sent from God above. (Author Unknown)Happy Birthday Mom!Disclaimer :All information, images, pictures and related materials in this app are gathered from the internet for reference and sharing of knowledge purposes. Credits to all original owners and sources of info.",Lifestyle,18779104,adware/airpush!android,1.0,[1.0],A7B57DACCA39E514E255A14A601202B89C01055E0F9E5EE16ACCA364BC2514A4
com.mediaye.oras_satar_lyrics,اغاني اوراس ستار بدون نت|كلمات,Songs With Lyrics,,,1K+,Teen,"Jul 30, 2023","We present to you the application of the most beautiful and best songs and songs of the artist Oras Star without the net + the words, with more than 100 songs, and with continuous updating of all new 2023 first-handThe most important features of the application:• We provide the lyrics of all songs to ensure full enjoyment• Control songs in the car speakers and all Bluetooth devices• Your favorites list• Play songs with the camera• Non-interruption feature during calls• Search button to access your favorite song• The ability to control songs through different headphones• All songs are clear and with high sound quality• Continuous update of new songs and albums 2023 + great new features• Play songs without the net• Easy access to songs• Professional eye-catching designIn this application you will find the following songs:1. Resurrection 20232. A character 20233. Beha Saleh 20234. Coming back in 20235. A passing coincidence 20226. Bam Bam with Noor Al Zain 20227. I saw the camber 20228. My Big Love 20229. We are back to life with Ahmed Al-Maslawy 202210. Shamlah 202211. My strong heart is with Salah Hassan 202212. My birthday 202113. But 202114. For you and for your solution 202115. Soon 202116. Fight 202117. We die spoiling together 202118. Collapsed 202019. I Loved Parting 202020. My Light in the Air 202021. Your treachery is that I am 202022. The stars of the name 202023. Owners 202024. How beautiful you are25. Ooh, hug you26. Disastrous27. Get involved28. I chose someone else29. An old notebook30. Like melted salt31. Dakho32. Initial love33. Oh my fly34. My partner35. Declare repentance36. The days37. Love changes state38. Crazy Love39. Your love is my youth40. My love and tenderness41. The House of Time42. We took it back43. Rohi Beek - Manam44. Your Time Has Gone - Party45. Shutsui Sui46. ​​Tashit Al-Darb Rayhan - Old Recording47. Groom48. On meh49. My life and my life50. Other than you faced51. Fadwa Fadwa52. My heart is stubborn53. My heart is your home54. No girlfriend, no girlfriend55. What did you hear?56. Who hurt us57. Mawal Ahasak Wa Rifif Al Dam + Oh Muhammad - Concert58. This is my reward59. This is your love60. One by one61. By God, I will not forget you62. The face of wellness63. A second person with Maher Ahmed64. Ahhh65. The Opera of Hope66. Taraf Yazin67. Jalsa - Ya Saud, it's too late for the month68. Your tenderness69. Mako Kismah70. We love the EmiratesIn addition to more than 100 songs, parties and many other miscellaneous",Music & Audio,101606124,,0.0,[0.0],3A7BA327EFE94808F3D617942C195DDF30269493E435D228B636E2048DCE1177
com.liteholybibles.malayalambible,Malayalam Bible (Holy Version),Smart Holy Bible Apps,,,100+,Everyone,"Apr 20, 2023","📖 Malayalam Bible (Holy Version) is a FREE and Offline Bible. Read the Bible to feel the word of God. Download Now!Malayalam Bible (Holy Version) is the best Application to carry God’s Word. Have the Holy Bible at your fingertips anytime and anywhere you go. This daily Bible App contains the 66 books of the Old Testament and New Testament, providing an easier way to feel God’s word in your heart and to feel heaven closer to you and your loved ones. Carry Malayalam Bible (Holy Version) App wherever and whenever you want to help enlighten your mind with the complete, fast and easy to use daily Bible App.💖CUSTOMIZE YOUR BIBLE 📖 Works Offline: Read the Holy Bible in offline without internet access.📖 Easy Reading: Adjust font, text size and contrast for bright or low-light.📖 Night mode: Night reading mode to facilitate reading the Holy Bible in night.📖 Highlights: Mark favorite verses with all sorts of colors that gives it more meaning.📖 Bookmarks: Catch up where you left off with a simple bookmark.📖 Share Your Favorites: Share your favorite verses with friends on social media, email, or       SMS/text.📖 Notes: Add important notes or comment for your interested verse.📖 Quick Search:Make a Quick search for any book or term by using our Bible Dictionary.Start your day fresh with a Daily Verse and Carry your soft-copy of Malayalam Bible (Holy Version) with you anytime and anyplace you are or wish to go, and share God's Word to spread light and love to your close ones. Malayalam Bible (Holy Version) App offers immaculate friendly features that will make your daily Bible reading a wonderful experience. This Holy Bible is also represented as വിശുദ്ധ ബൈബിൾ in the native language.⛪READ BIBLE DAILY📖 Prayer and Read Bible everyday with the help of Malayalam Bible app.📖 Immersive Christian Bible verse reading experience.📖 Bible scriptures, reciting daily verses, sharing the Bible verses, all in one Bible App.📖 Use this Malayalam Bible Offline app for your daily devotional study and Christian bible reading. 📖 Keep in touch with friends everyday through sharing and discussing ideas with them.Download 👉Malayalam Bible (Holy Version) Now! And Have An Abundant Life In Jesus Christ!!!* Please, if you liked this app, support our project by rating and writing your testimonial on Google Play. It only takes a few seconds.* If you did not like something or found any bugs, please let us know by e-mail at feedback@bibleall.net.* All reviews are welcome.God bless you all!💌 KEEP IN TOUCH WITH MALAYALAM BIBLE APP DEVELOPERS📧 Mail:support@bibleall.net🌍 Visit:https: www.bibleall.net👍 Join:https://www.facebook.com/BibleAllOfficial",Books & Reference,19058096,,0.0,[0.0],C927294691C1333B25EED6E270A88E23F243076ACC0B302F7063E907683A08E4
rj.exam2,RJ EXAM - Rajasthan Rojgar New,Education Tak,,,10K+,Everyone,"May 1, 2021","RJ EXAM App provide you Rajasthan Government jobs Updates and Educational NewsRJ EXAM Application is most helpful for those who are preparing for a government job.  RJ EXAM App provides you the news of all government recruitment.Rajasthan Rojgar Samachar like Patwar , Gram sevak, LDC,  REET, B.Ed. Exam, STC Exam, RPSC Teacher Examination, Lecturer Exam, Second Grade Teacher recruitment, NET, SLET, Exam etc.Rajasthan gk objective questions in hindi,This app ""Rajasthan GK Online Test "" has Multiple Choice Objective Questions and simple questions and answers for Rajasthan Examinations and other government jobs. These question are based on Rajasthan History, Rajasthan Culture, Rajasthan Geography, Rajasthan Districts, Rajasthan Economy and Rajasthan  Polity and Many Other Category.Main Features:● Daily Rojgar samachar● Education News● section wise all jobs Updates● Admit Card● Answer Key● Result● Upcoming Jobs● 1000+ Rajasthan GK Mock Tests● All Previous Exams Papers help in RajasthanSource of Information: In this app government recruitment information is provided whose source is Government Officials site (RPSC, RSMSSB, RBSE, SSC, CBSE, etc.), Authentic Newspaper, Magzine, etc. We always provide Authentic News only.Source of information site:RPSC : https://rpsc.rajasthan.gov.inRSSB : https://rsmssb.rajasthan.gov.inRBSE : http://rajeduboard.rajasthan.gov.inNTA : https://nta.ac.inSSC : https://ssc.nic.inIBPS : https://www.ibps.inPTET : http://www.ptetdcb2020.comBSTC : https://www.predeled.comRJ EXAM App is not a Government official App.  This app provides you with information on government recruitment and education from Government official websites and news papers.  Please check any type of form or its information on our website, after which you must check once on the Government official website.  Any scheme recruitments and other information which is made available on our website.  The government has the right to change them and changes can be made at any time on the official website of the government.  Regarding which, the person must definitely view the official website at their own level. Let us tell you once again that this is not a Government application, besides, let us also tell you that we do not charge any kind of fee from any person.  Please see any information related to it on the official website.Learning these GK questions are helpful to crack the exams who are preparing for Rajasthan Government jobs.",Education,8852486,,0.0,[0.0],B0B58A52D81D08049E3ACC7920A2B8FCC34507ABE671D0A5EFBD5D89A9149B37
